category,id
Breakfast,100
Beef & Pork,101
Chicken & Fish,102
Salads,103
Snacks & Sides,104
Desserts,105
Beverages,106
Coffee & Tea,107
Smoothies & Shakes,108
Sandwich,109
Salad,110
Extra,111
Wrap,112
Bread,113
Cheese,114
Extras,115
Sauces,116
Veggies,117
Protein,118
Seasonings,119
Coffee,120
Classic Espresso Drinks,121
Signature Espresso Drinks,122
Tazo® Tea Drinks,123
Shaken Iced Beverages,124
Smoothies,125
Frappuccino® Blended Coffee,126
Frappuccino® Light Blended Coffee,127
Frappuccino® Blended Crème,128
Desert,129
Other Food,130
